CATÁLOGO DE 2.000 TÉCNICAS Y METODOLOGÍAS
PARTE 3 — ENTRADAS 1351 A 2000
Formato: TIPO, SECTOR, ENFOQUE > NÚMERO > NOMBRE > DESCRIPCIÓN
Nota: las entradas marcadas como APLICACIÓN METODOLÓGICA son adaptaciones sectoriales explícitas, no métodos canónicos nuevos.

MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1351 > Demostración directa > Deriva la conclusión desde axiomas y definiciones.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1388 > KKT Conditions > Caracteriza óptimos restringidos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1389 > Linear Programming > Optimiza una función lineal.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1390 > Simplex Method > Recorre vértices factibles.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1391 > Interior-Point Method > Se desplaza por el interior factible.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1392 > Linear Programming Duality > Relaciona primal y dual.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1393 > Integer Linear Programming > Optimiza variables enteras.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1394 > Mixed-Integer Programming > Combina variables continuas y enteras.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1395 > Cutting-Plane Method > Añade desigualdades válidas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1396 > Branch-and-Cut > Combina ramificación y cortes.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1397 > Branch-and-Price > Combina ramificación y columnas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1398 > Column Generation > Añade variables prometedoras.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1399 > Dantzig-Wolfe Decomposition > Descompone mediante columnas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1400 > Benders Decomposition > Separa variables complicantes.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1401 > Lagrangian Relaxation > Penaliza restricciones con multiplicadores.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1402 > Quadratic Programming > Optimiza objetivos cuadráticos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1403 > Second-Order Cone Programming > Optimiza sobre conos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1404 > Semidefinite Programming > Optimiza matrices semidefinidas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1405 > Convex Optimization > Optimiza funciones convexas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1406 > Subgradient Method > Trata convexas no diferenciables.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1407 > Projected Gradient Descent > Proyecta pasos al conjunto factible.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1408 > Proximal Gradient > Separa término suave y regularizador.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1409 > Nesterov Acceleration > Acelera convergencia por extrapolación.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1410 > Coordinate Descent > Optimiza una variable cada vez.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1411 > Block Coordinate Descent > Actualiza bloques de variables.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1412 > Stochastic Gradient Descent > Usa gradientes de muestras.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1413 > Mini-Batch Gradient Descent > Usa pequeños lotes.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1414 > Momentum Method > Acumula dirección previa.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1415 > RMSProp > Escala gradientes adaptativamente.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1416 > Adam > Combina momentos de primer y segundo orden.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1417 > AdaGrad > Adapta tasas acumulativamente.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1418 > AdamW > Separa decaimiento de pesos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1419 > Natural Gradient > Usa geometría probabilística.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1420 > Mirror Descent > Optimiza con geometría espejo.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1421 > Frank-Wolfe > Usa subproblemas lineales.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1422 > Newton Optimization > Usa gradiente y Hessiano.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1423 > Quasi-Newton > Aproxima el Hessiano.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1424 > BFGS > Actualiza una aproximación Hessiana.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1425 > L-BFGS > Reduce memoria de BFGS.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1426 > Trust Region > Limita pasos a una región fiable.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1427 > Conjugate Gradient > Usa direcciones conjugadas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1428 > Gauss-Newton > Optimiza mínimos cuadrados.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1429 > Levenberg-Marquardt > Combina Gauss-Newton y descenso.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1430 > Sequential Quadratic Programming > Resuelve subproblemas cuadráticos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1431 > Augmented Lagrangian > Combina multiplicadores y penalización.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1432 > Penalty Method > Penaliza violaciones.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1433 > Barrier Method > Impide acercarse a fronteras inviables.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1434 > ADMM > Alterna variables y multiplicadores.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1435 > Primal-Dual Method > Actualiza variables primales y duales.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1436 > Nelder-Mead > Mueve un simplex geométrico.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1437 > Powell Method > Realiza búsquedas lineales adaptadas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1438 > Pattern Search > Explora un patrón de direcciones.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1439 > Bayesian Optimization > Selecciona evaluaciones informativas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1440 > Expected Improvement > Maximiza mejora esperada.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1441 > Upper Confidence Bound > Equilibra media e incertidumbre.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1442 > Evolution Strategy > Evoluciona soluciones por mutación y selección.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1443 > CMA-ES > Adapta covarianza de mutaciones.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1444 > Genetic Algorithm > Usa selección, cruce y mutación.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1445 > Differential Evolution > Usa diferencias entre individuos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1446 > Particle Swarm Optimization > Mueve partículas según mejores posiciones.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1447 > Ant Colony Optimization > Construye soluciones con feromonas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1448 > Simulated Annealing > Acepta empeoramientos temporalmente.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1449 > Tabu Search > Evita ciclos con memoria.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1450 > Variable Neighborhood Search > Cambia de vecindario.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1451 > Iterated Local Search > Perturba y reinicia búsqueda local.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1452 > GRASP > Construye aleatoriamente y mejora localmente.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1453 > Harmony Search > Combina memoria y aleatoriedad.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1454 > Cross-Entropy Method > Actualiza distribución hacia élites.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1455 > Memetic Algorithm > Combina evolución y búsqueda local.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1456 > Multiobjective Optimization > Optimiza varios objetivos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1457 > Pareto Optimization > Busca soluciones no dominadas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1458 > Weighted Sum Method > Combina objetivos ponderados.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1459 > Epsilon-Constraint Method > Limita objetivos secundarios.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1460 > NSGA-II > Usa dominancia y diversidad.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1461 > SPEA2 > Mantiene archivo externo.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1462 > MOEA/D > Descompone en subproblemas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1463 > Goal Programming > Minimiza desviaciones respecto a metas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1464 > Robust Optimization > Optimiza frente a incertidumbre acotada.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1465 > Stochastic Programming > Optimiza bajo escenarios probabilísticos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1466 > Chance-Constrained Programming > Impone restricciones probabilísticas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1467 > Distributionally Robust Optimization > Considera familias de distribuciones.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1468 > Bellman Equation > Relaciona valor actual y futuro.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1469 > Optimal Control > Optimiza trayectorias dinámicas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1470 > Pontryagin Maximum Principle > Da condiciones de control óptimo.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1471 > Model Predictive Control > Optimiza un horizonte móvil.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1472 > Calculus of Variations > Optimiza funcionales.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1473 > Euler-Lagrange Equation > Caracteriza extremos de funcionales.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1474 > Hamilton-Jacobi-Bellman > Describe valor óptimo continuo.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1475 > Linear-Quadratic Regulator > Minimiza coste cuadrático en sistemas lineales.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1476 > Bisection Method > Reduce un intervalo que contiene una raíz.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1477 > Newton-Raphson > Usa derivada local para hallar raíces.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1478 > Secant Method > Aproxima derivada con dos puntos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1479 > Regula Falsi > Interpola manteniendo raíz encerrada.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1480 > Brent Method > Combina bisección e interpolación.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1481 > Fixed-Point Iteration > Itera una transformación.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1482 > Newton-Krylov > Usa Krylov en sistemas no lineales.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1483 > Gaussian Elimination > Resuelve sistemas por eliminación.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1484 > Gauss-Jordan > Reduce matrices completamente.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1485 > LU Decomposition > Factoriza en triangulares.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1486 > Cholesky Decomposition > Factoriza matrices definidas positivas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1487 > QR Decomposition > Factoriza en ortogonal y triangular.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1488 > Singular Value Decomposition > Descompone en valores singulares.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1489 > Eigenvalue Decomposition > Descompone por autovalores.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1490 > Power Iteration > Aproxima autovector dominante.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1491 > QR Algorithm > Calcula autovalores iterativamente.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1492 > Lanczos Algorithm > Trata matrices simétricas grandes.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1493 > Arnoldi Iteration > Construye bases de Krylov.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1494 > Conjugate Gradient Solver > Resuelve sistemas simétricos positivos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1495 > GMRES > Minimiza residuo en Krylov.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1496 > BiCGSTAB > Resuelve sistemas no simétricos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1497 > Jacobi Iteration > Actualiza con valores previos.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1498 > Gauss-Seidel > Usa valores recién actualizados.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1499 > SOR > Acelera Gauss-Seidel.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1500 > Multigrid > Elimina errores en varias escalas.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1501 > Preconditioning > Mejora convergencia de solvers.
MÉTODO, MATEMÁTICAS Y OPTIMIZACIÓN, DEMOSTRACIÓN, CÁLCULO Y MODELADO > 1502 > Tikhonov Regularization > Estabiliza problemas inversos.
