CATÁLOGO DE 2.000 TÉCNICAS Y METODOLOGÍAS
PARTE 2 — ENTRADAS 701 A 1350
Formato: TIPO, SECTOR, ENFOQUE > NÚMERO > NOMBRE > DESCRIPCIÓN
Nota: las entradas marcadas como APLICACIÓN METODOLÓGICA son adaptaciones sectoriales explícitas, no métodos canónicos nuevos.

TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 701 > Espectroscopía de absorción > Mide atenuación de radiación para identificar transiciones.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 739 > DIC > Genera contraste interferométrico.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 740 > Microscopía de fluorescencia > Localiza moléculas marcadas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 741 > Microscopía confocal > Obtiene secciones ópticas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 742 > Microscopía multiphoton > Excita con absorción multifotónica.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 743 > STED > Supera difracción por agotamiento estimulado.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 744 > PALM > Localiza moléculas fotoactivables individualmente.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 745 > STORM > Reconstruye superresolución desde emisores intermitentes.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 746 > SEM > Obtiene topografía con haz electrónico.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 747 > TEM > Forma imágenes con electrones transmitidos.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 748 > STEM > Barre una sonda electrónica en transmisión.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 749 > Cryo-EM > Observa muestras vitrificadas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 750 > Cryo-electron tomography > Reconstruye volúmenes vitrificados.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 751 > AFM > Mide fuerzas punta-muestra.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 752 > AFM de contacto > Mantiene la punta en contacto.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 753 > AFM tapping > Oscila la punta reduciendo fuerzas laterales.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 754 > Kelvin Probe Force Microscopy > Mapea potencial superficial.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 755 > Magnetic Force Microscopy > Detecta gradientes magnéticos.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 756 > Scanning Tunneling Microscopy > Mide corriente túnel superficial.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 757 > Profilometría de contacto > Mide perfiles con una punta.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 758 > Profilometría óptica > Mide topografía sin contacto.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 759 > Interferometría de luz blanca > Obtiene relieve por coherencia baja.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 760 > Elipsometría > Determina propiedades ópticas y espesores.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 761 > Refractometría > Mide índice de refracción.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 762 > Polarimetría > Mide rotación y polarización.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 763 > Interferometría Michelson > Compara caminos ópticos.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 764 > Interferometría Mach-Zehnder > Mide cambios de fase.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 765 > Interferometría Fabry-Pérot > Logra alta resolución espectral.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 766 > Holografía digital > Reconstruye amplitud y fase.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 767 > Digital Image Correlation > Calcula desplazamientos y deformaciones.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 768 > Particle Image Velocimetry > Obtiene campos de velocidad.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 769 > Laser Doppler Velocimetry > Mide velocidad por efecto Doppler.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 770 > Hot-Wire Anemometry > Mide flujo por enfriamiento de hilo.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 771 > Pitot Tube Measurement > Estima velocidad desde presión.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 772 > Schlieren Imaging > Visualiza gradientes de densidad.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 773 > Shadowgraphy > Visualiza variaciones de índice.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 774 > Planar Laser-Induced Fluorescence > Mapea especies o temperatura.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 775 > LIBS > Analiza composición desde plasma láser.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 776 > Laser Flash Analysis > Mide difusividad térmica.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 777 > Differential Scanning Calorimetry > Mide flujo de calor.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 778 > Thermogravimetric Analysis > Mide cambios de masa con temperatura.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 779 > Dynamic Mechanical Analysis > Mide respuesta viscoelástica.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 780 > Thermomechanical Analysis > Mide deformación térmica.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 781 > Dilatometry > Mide expansión térmica.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 782 > Isothermal Titration Calorimetry > Mide termodinámica de interacción.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 783 > Bomb Calorimetry > Mide calor de combustión.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 784 > Transient Hot Wire > Mide conductividad térmica.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 785 > 3-Omega Method > Mide propiedades térmicas eléctricamente.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 786 > Guarded Hot Plate > Mide conductividad estacionaria.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 787 > Seebeck Measurement > Determina coeficiente termoeléctrico.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 788 > Hall Effect Measurement > Obtiene densidad y movilidad de portadores.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 789 > Four-Point Probe > Mide resistividad reduciendo contactos.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 790 > Van der Pauw Method > Determina resistividad en muestras planas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 791 > Impedance Spectroscopy > Caracteriza respuesta eléctrica por frecuencia.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 792 > Electrochemical Impedance Spectroscopy > Separa procesos electroquímicos.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 793 > Cyclic Voltammetry > Estudia reacciones redox.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 794 > Linear Sweep Voltammetry > Mide corriente durante barrido lineal.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 795 > Chronoamperometry > Mide corriente tras escalón de potencial.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 796 > Chronopotentiometry > Mide potencial bajo corriente fija.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 797 > Rotating Disk Electrode > Controla transporte de masa.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 798 > Tafel Analysis > Extrae parámetros cinéticos.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 799 > Corrosion Coupon Test > Mide pérdida de masa por corrosión.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 800 > Salt Spray Test > Acelera corrosión con niebla salina.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 801 > Nanoindentation > Obtiene dureza y módulo a microescala.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 802 > Vickers Hardness > Calcula dureza con huella piramidal.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 803 > Rockwell Hardness > Mide profundidad bajo carga.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 804 > Brinell Hardness > Calcula dureza con bola.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 805 > Scratch Test > Evalúa adhesión o resistencia al rayado.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 806 > Tensile Test > Mide resistencia y ductilidad.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 807 > Compression Test > Mide respuesta bajo compresión.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 808 > Flexural Test > Evalúa resistencia a flexión.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 809 > Torsion Test > Mide respuesta torsional.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 810 > Fatigue Test > Determina vida bajo cargas cíclicas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 811 > Creep Test > Mide deformación dependiente del tiempo.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 812 > Stress Relaxation Test > Mide disminución de tensión.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 813 > Charpy Impact Test > Mide energía absorbida en impacto.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 814 > Fracture Toughness Test > Determina resistencia a propagación de grietas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 815 > Acoustic Emission > Detecta ondas generadas por daño.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 816 > Ultrasonic Testing > Inspecciona discontinuidades con ultrasonidos.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 817 > Phased Array Ultrasonics > Controla haces ultrasónicos electrónicamente.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 818 > Radiographic Testing > Inspecciona interiores con radiación.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 819 > Magnetic Particle Inspection > Detecta grietas en ferromagnéticos.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 820 > Dye Penetrant Inspection > Revela discontinuidades superficiales.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 821 > Eddy Current Testing > Detecta defectos por corrientes inducidas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 822 > Infrared Thermography > Detecta patrones térmicos anómalos.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 823 > Lock-In Thermography > Sincroniza excitación y detección térmica.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 824 > Dynamic Light Scattering > Estima tamaño de partículas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 825 > Static Light Scattering > Estima masa y estructura.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 826 > Nanoparticle Tracking Analysis > Sigue partículas individuales.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 827 > Zeta Potential > Estima estabilidad coloidal.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 828 > BET Surface Area > Calcula área específica por adsorción.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 829 > Mercury Intrusion Porosimetry > Determina tamaño de poro.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 830 > Gas Pycnometry > Mide densidad real.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 831 > Contact Angle > Evalúa mojabilidad.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 832 > Pendant Drop Tensiometry > Mide tensión superficial.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 833 > Rotational Rheometry > Mide viscosidad y viscoelasticidad.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 834 > Capillary Rheometry > Mide flujo en capilares.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 835 > Oscillatory Rheology > Caracteriza módulos viscoelásticos.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 836 > Dynamic Vapor Sorption > Mide absorción de humedad.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 837 > Laser Diffraction Particle Sizing > Estima granulometría por dispersión.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 838 > Coulter Counter > Cuenta partículas por impedancia.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 839 > Flow Cytometry > Analiza células individualmente.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 840 > Patch Clamp > Registra corrientes iónicas.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 841 > Electroencephalography > Registra actividad eléctrica cerebral.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 842 > Magnetoencephalography > Mide campos magnéticos neuronales.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 843 > Functional MRI > Infere actividad por hemodinámica.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 844 > Positron Emission Tomography > Mapea trazadores radiactivos.
TÉCNICA EXPERIMENTAL, FÍSICA, QUÍMICA Y MATERIALES, MEDICIÓN Y CARACTERIZACIÓN > 845 > Ultrasound Imaging > Forma imágenes por ecos.
